,0,1,2,3,4,5
0,(-7.500000000000002+7.500000000000002j),0j,0j,(-3.750000000000003+3.7500000000000013j),(5.6250000000000036-5.625000000000002j),(5.625000000000002-5.625000000000002j)
1,0j,(-7.499999999999999+7.4999999999999964j),0j,(5.624999999999999-5.624999999999999j),(-3.7499999999999982+3.750000000000001j),(5.624999999999998-5.624999999999998j)
2,0j,0j,(-7.500000000000004+7.500000000000004j),(5.625000000000003-5.625000000000005j),(5.6249999999999964-5.624999999999998j),(-3.7499999999999956+3.749999999999999j)
3,(-3.750000000000003+3.7500000000000013j),(5.6250000000000036-5.625000000000002j),(5.625000000000002-5.625000000000002j),(-7.500000000000002+7.500000000000002j),0j,0j
4,(5.624999999999999-5.624999999999999j),(-3.7499999999999982+3.750000000000001j),(5.624999999999998-5.624999999999998j),0j,(-7.499999999999999+7.4999999999999964j),0j
5,(5.625000000000003-5.625000000000005j),(5.6249999999999964-5.624999999999998j),(-3.7499999999999956+3.749999999999999j),0j,0j,(-7.500000000000004+7.500000000000004j)
